method,classification,code,webserver,reference,note,group,
foldseek,search structure,https://github.com/steineggerlab/foldseek,https://search.foldseek.com/search,https://www.biorxiv.org/content/10.1101/2022.02.07.479398,search similar structure against PDB and AFDB very quickly,Steinegger,
Alphafind,search structure,,https://alphafind.fi.muni.cz/search,https://www.biorxiv.org/content/10.1101/2024.02.15.580465v1,,,
gget(alphafold),easy to use AF2,https://github.com/pachterlab/gget,,https://www.biorxiv.org/content/10.1101/2022.05.17.492392v3,very easily use AF2 colab and other tools via Jupiternotebook,,
GUIFold,easy to use AF2,https://github.com/fmi-basel/GUIFold,,https://www.biorxiv.org/content/10.1101/2023.01.19.521406v1,graphical user interface for alphafold2,,
AlphaPullDown,easy to use AF2,https://github.com/KosinskiLab/AlphaPulldown,,https://doi.org/10.1101/2022.08.05.502961,protein-protein interaction screens and high-throughput modelling of higher-order oligomers using AlphaFold-Multimer,EMBO,
ProteinMPNN,design-related,https://huggingface.co/spaces/simonduerr/ProteinMPNN,,https://www.biorxiv.org/content/10.1101/2022.06.03.494563v1,"generate new sequense from input structure, then predict structure by AF2",,
LigandMPNN,,https://github.com/dauparas/LigandMPNN,,,,,
ColobDesign(Afdesign),design,https://github.com/sokrypton/ColabDesign,,,using AF2 and other methods for design,Ovchinnikov,
alphafold_finetune,,https://github.com/phbradley/alphafold_finetune,,https://www.biorxiv.org/content/10.1101/2022.07.12.499365v1,finetune for protein-protein prediction,,
AF2rank,,https://github.com/jproney/AF2Rank,,https://www.biorxiv.org/content/10.1101/2022.03.11.484043v3,ranking decoy using AF2,Ovchinnikov,
PROST,mutation effect,https://github.com/ShahidIqb/PROST,https://prost.erc.monash.edu/seq/,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c00799,predict stability change by single-point mutation using AF2 structure,Song,
AlphaMisssence,mutation effect,https://github.com/google-deepmind/alphamissense,,https://www.science.org/doi/10.1126/science.adg7492,,DeepMind,
DEMO,assemble structures,,https://zhanggroup.org/DEMO/,https://doi.org/10.1093/nar/gkac340,automated assembly with deep-learning predicted inter-domain spatial restraints,Zhang,"This work is independent of AF2, but can be useful if cooperate with AF2."
DPAM,domain parser,https://github.com/CongLabCode/DPAM,,https://www.biorxiv.org/content/10.1101/2022.09.22.509116v1,domain parser for AlphaFold2 model,,
FASSO,functiona annotation,https://github.com/Maize-Genetics-and-Genomics-Database/FASSO/,,https://www.biorxiv.org/content/10.1101/2022.11.10.516002v1,assaign functional annotation using AlphaFold2 model,,
,MD,,,https://www.frontiersin.org/articles/10.3389/fmolb.2022.878133/full,Collective Variable for Metadynamics Derived From AlphaFold Output,,
making_it_rain,MD,https://github.com/pablo-arantes/Making-it-rain,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00998,use AF2 structure as MD inistial structure,,
,design,,,https://www.nature.com/articles/s41586-022-04654-9,Design of protein-binding proteins from the target structure alone (Not AF2),,
HighFold,cyclic peptide,,,https://www.biorxiv.org/content/10.1101/2023.08.27.554979v1.full,prediction of cyclipeptiide monomer & multimer,,
AFCycDesign,cyclic peptide,,,https://www.biorxiv.org/content/10.1101/2023.02.25.529956v1,prediction & design of cyclic peptide using AF2,,
AF2BIND,ligand binding,https://github.com/sokrypton/af2bind,,https://www.pnas.org/doi/10.1073/pnas.2304302120,predicting ligand binding site,,
af2_comformations,multiconformation,https://github.com/delalamo/af2_conformations,,https://doi.org/10.7554/eLife.75751.sa0,making the shallow MSA,,
af2_multistate,multiconformation,https://github.com/huhlim/alphafold-multistate,,https://doi.org/10.1002/prot.26382,using template of homogenous structural features without MSA,,
AF-cluster,multiconformation,https://github.com/HWaymentSteele/AF_Cluster,,https://www.nature.com/articles/s41586-023-06832-9,clustering sequence in MSA,,
AF2_GPCR_Kinase,multiconformation,,,,usingshallow MSA and template,,
SPEECH_AF,multiconformation,,,,masking a portion of MSA,,
Alphafold-RAVE,ensemble,to be open?,,https://www.biorxiv.org/content/10.1101/2022.05.25.493365v1.full,generate ensemble from predicted structure,Tiwary,
,ensemble,,,https://www.biorxiv.org/content/10.1101/2023.07.25.550545v3,,,
AlphaFoldDisorderData,IDR prediction,,,,AF-(smmothed)-pLDDT and AF-(smoothed)-RSASA based method,,
AlphaFold-disorder,IDR prediction,,,,,,
ADOPT,IDR prediction,,,,AF-(smmothed)-pLDDT and AF-(smoothed)-RSASA based method,,
SETH,IDR prediction,,,,bidirectional transformer,,
,,,,,ProtT5,,
AF2.IDR,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
multistate prediction using AF2 reveiew,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0959440X23001197,,,,,,,
